"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
0,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,63031,3319,1150,1150,2861,3279,5737,3319,1150,1150,1035
0,100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,50481,56076,60100,59713,2000,2677,11180,3076,5080,3000,2033
1,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,34262,17055,17629,18186,2000,1700,19095,1000,1000,1000,1000
0,240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,6105,3164,360,1737,2622,3301,11180,0,360,1737,924
0,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,47908,220951,210606,188108,9744,9553,5737,7603,7830,7253,11326
0,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,47340,25350,17603,-780,2000,1400,11180,0,500,0,1560
0,150000,1,1,2,?,0,0,0,0,0,0,17444,19342,22000,68204,24614,27200,30229,2500,3000,5737,3000,3000,3500,5000
0,140000,1,2,1,32,0,0,0,0,2,0,86627,78142,68336,11309,64648,58319,55251,3455,3110,11180,5000,0,2100,2602
0,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,34460,41087,41951,31826,30000,3000,5737,6000,8000,2000,14000
0,30000,2,3,2,26,0,0,0,0,0,0,9014,10406,11427,37091,11935,13084,14206,1700,1500,19095,1000,1500,1500,1500
0,30000,1,1,2,41,2,2,2,2,2,0,24357,27453,26718,43914,28168,27579,28321,3500,0,19095,2200,0,1200,1250
0,50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,780,25830,216,?,540,390,780,19095,216,864,?,390
0,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,32113,792,396,423,396,396,11180,792,0,423,369
0,20000,2,2,2,22,0,0,0,0,0,0,16001,12622,13221,5057,13130,?,14906,1212,1201,11180,500,1500,?,1000
1,100000,2,2,1,38,1,2,0,0,2,0,14483,13961,15323,46277,16268,15868,16448,0,1600,19095,1500,0,1000,1500
1,200000,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,23052,196186,200162,189915,8214,7000,11180,6800,7134,0,6836
0,20000,2,2,2,31,1,5,4,4,3,2,21703,21087,21461,37775,20835,20219,20487,0,1000,19095,0,0,760,0
1,60000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,16010,23005,22499,22873,1342,1664,5737,2000,0,900,846
0,120000,1,2,2,26,0,0,0,0,0,0,107314,110578,113736,14675,116000,119131,122135,5000,5000,5737,4152,5000,5000,5000
0,360000,2,2,1,48,0,0,0,0,0,0,226430,231878,234192,46631,190211,173557,146511,9100,7300,5737,5800,5600,5600,4100
1,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,1586,343,12464,3763,877,0,1586,343,11180,3763,877,0,419
0,220000,1,1,2,24,0,0,0,-1,-1,-1,105607,108917,111520,25698,8303,0,85632,5000,5050,5737,8303,0,85632,0
0,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,14074,240,1320,780,390,390,5737,240,1470,0,0
1,240000,2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,-946,32796,-946,-946,-946,0,0,11180,0,0,0,0
0,80000,1,2,2,36,2,0,0,0,0,0,79278,78501,78534,249,80016,76235,78245,3100,3500,19095,3400,3000,3500,3000
0,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,4542,126,13299,0,0,0,4542,126,11180,0,0,0,0
1,50000,2,3,2,37,1,3,2,0,0,0,52626,51537,49205,15677,30394,30249,29957,0,24,11180,1500,1000,1201,30592
0,20000,2,3,2,24,1,2,0,0,0,0,19154,18165,17233,11177,7630,1730,0,0,1333,19095,500,100,0,3200
1,20000,1,2,2,23,1,2,0,0,2,0,20235,17132,16856,58020,16875,13454,10104,0,1200,11180,1000,0,1000,10000
0,50000,1,2,1,26,0,0,-2,-1,-1,0,102800,0,0,36332,2624,45567,46557,0,0,19095,2624,45567,1747,2000
1,240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,26795,207642,210375,214694,10116,9150,5737,8008,8000,8009,7714
0,50000,1,1,2,39,0,0,0,0,0,0,47174,47974,48630,71762,50803,?,15874,1800,2000,11180,3000,2000,?,2000
0,50000,2,2,2,27,0,0,0,0,0,0,26655,27724,28676,30856,27990,28790,29399,1800,1750,5737,900,1200,1200,1100
0,330000,1,1,2,25,0,0,0,0,2,0,46140,45781,48139,25957,51137,39450,25358,2504,4007,11180,5056,74,1023,2566
0,50000,2,2,2,26,1,2,2,0,0,0,50867,51486,48869,9401,30115,29527,29998,1710,136,5737,1206,2002,2005,3003
0,160000,2,1,2,28,0,0,0,0,-1,0,70243,47779,28052,25571,7222,99669,84426,7042,2000,11180,1000,99669,12600,10000
1,220000,1,1,1,48,2,0,0,0,0,0,210380,213522,201852,18277,169115,172169,162402,10000,9020,11180,6000,5500,6000,5500
0,80000,2,1,2,37,-1,-1,-1,-1,-1,-1,10115,249,5986,20872,188,1644,16872,258,5995,11180,188,1644,16872,4000
0,10000,1,3,2,23,0,0,0,0,0,2,6974,7838,9002,11093,9182,9729,9411,1134,1298,5737,478,847,?,175
0,120000,1,1,1,34,-1,2,-1,0,0,0,1082,632,1350,6960,900,450,0,0,1350,11180,0,0,0,450
1,260000,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,41376,0,?,0,0,0,19095,0,0,?,0
0,200000,2,2,2,33,0,0,0,0,0,0,11253,12852,14024,58321,14512,?,11905,2000,1322,19095,2000,2000,?,3000
1,360000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,28455,0,0,0,0,0,5737,0,0,?,0
0,270000,1,2,1,44,0,0,0,0,-1,-1,127543,109189,92630,3237,69669,44149,43414,10063,5162,11180,10150,44299,43509,31031
0,180000,2,3,2,30,0,0,0,0,0,0,163935,153152,147032,44259,122196,103692,70204,7722,6091,11180,3563,3605,3000,3211
1,280000,1,1,2,33,-1,-1,-1,-1,-1,-1,898,898,325,31670,898,325,-339603,898,325,11180,898,325,0,345293
1,10000,1,2,2,27,0,0,2,0,0,0,7015,10227,9560,37842,9901,9963,10182,3507,0,5737,500,370,393,700
0,280000,2,1,1,36,0,0,0,0,0,0,58983,60788,63225,52155,29701,30172,30771,2755,3463,11180,1300,1100,1100,2000
0,440000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,0,20902,0,0,0,0,0,5737,0,0,162000,0
0,400000,2,2,1,38,-1,0,-1,-1,0,-1,3697,3600,1354,2416,5322,5103,2077,1000,1354,5737,5322,6,2386,9085
0,180000,2,2,1,34,0,0,0,0,0,0,143301,146333,147042,62593,127814,130331,132845,7000,5000,19095,5000,4900,5000,5100
1,200000,2,3,1,49,-1,2,2,2,0,0,52439,51040,56205,8757,54723,58657,59983,0,6000,11180,0,5000,2286,3000
0,180000,1,2,2,29,1,-2,-2,-2,-2,-2,-2,-2,-2,32911,-2,-2,-2,0,0,5737,0,0,0,0
1,110000,1,2,2,29,1,2,2,0,0,0,58362,56598,51908,59694,48647,47862,47969,2500,0,11180,2000,2000,1854,2000
0,260000,2,1,2,30,0,0,0,0,0,0,156882,160246,159988,30678,158114,158762,159108,10000,8000,11180,6000,7000,7000,6000
0,50000,1,2,2,36,0,0,0,0,-1,0,5916,6172,4123,1817,680,978,978,1212,1200,19095,0,978,0,0
0,180000,1,1,1,39,0,0,-1,0,0,-1,274731,281713,242063,1275,122295,-1005,1005,11000,145000,11180,26000,0,101005,1898
0,200000,1,1,1,36,1,-2,-1,-1,-2,-1,-14386,-13543,3432,5376,-3684,0,1386,10118,47015,11180,0,4000,100000,10000
0,320000,2,2,2,30,0,0,0,0,0,0,71305,71151,72029,40095,72849,74374,74610,2589,2568,19095,2570,2661,2781,2500
0,230000,2,1,2,35,-2,-2,-2,-2,-2,-2,761,300,399,33686,665,576,613,300,399,11180,665,576,?,520
0,50000,2,2,1,61,0,0,0,0,0,0,47166,49396,50476,12058,23319,23171,24774,3000,2237,19095,975,1000,2000,1039
0,300000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,46640,0,0,0,0,0,11180,0,0,0,0
1,20000,2,2,1,32,3,2,0,0,0,0,20631,20010,19703,39079,11084,10918,10985,0,1168,19095,384,390,632,616
0,90000,2,1,2,34,0,0,0,2,2,2,34302,35089,43449,17547,42451,49718,48767,1640,9000,19095,0,8000,0,2000
0,30000,1,3,3,54,0,0,0,0,0,0,22987,22298,22352,45696,23221,24339,25943,2500,2000,5737,1500,4000,2000,0
0,150000,1,2,1,43,0,0,0,0,0,0,153249,154049,156523,30459,159653,162866,157759,7900,6500,5737,5700,5700,5700,5334
0,140000,2,1,2,27,0,0,0,0,0,0,142428,144105,143952,18544,142590,142650,142620,10000,10000,19095,6000,6000,6000,5600
1,150000,1,1,2,41,-1,-1,-1,-1,-1,2,1464,2084,384,9069,0,2344,822,2091,384,19095,0,2344,0,472
1,160000,2,1,2,29,2,2,2,2,2,2,160432,163916,159676,26827,166893,170098,153800,7500,0,5737,11558,5800,0,5654
0,500000,1,1,1,37,1,2,0,0,0,0,507062,491956,430637,24226,376657,356636,303510,325,15296,11180,12137,12312,14113,10526
0,320000,2,1,2,27,0,0,0,0,0,0,55607,62893,59001,21080,61565,59508,66541,11404,8232,11180,10450,9697,16477,11341
0,280000,1,1,2,31,0,0,0,0,0,0,168382,175646,180650,63397,182672,168399,167983,10000,8000,19095,6371,6217,5947,6288
0,480000,2,3,1,41,-2,-2,-2,-2,-2,-2,14867,26665,199960,40673,9033,19371,22593,26734,199982,11180,9033,19371,22593,2000
0,50000,1,2,1,48,0,0,0,0,0,0,44338,43048,35639,81917,18753,19091,19548,3629,3332,19095,2000,2000,2000,2500
0,30000,1,1,2,24,2,0,0,0,0,2,25265,26354,27710,6695,27959,30002,29371,1500,1800,19095,1007,2500,0,1800
0,440000,2,1,2,29,0,0,0,0,0,0,169661,167199,158520,50736,156977,157963,151936,8071,9021,19095,7013,6013,6028,6010
0,490000,2,2,1,30,0,0,0,0,0,0,192586,197967,201666,15564,205798,196698,190306,10000,7143,19095,7306,6303,6429,6000
1,20000,2,3,2,49,2,2,2,2,0,0,9551,12081,13087,19156,12583,15327,16414,3000,1500,11180,0,3123,1500,1000
0,360000,1,3,1,55,0,0,-1,-1,-1,-2,9210,8485,17231,27454,1770,0,0,6015,17454,5737,1775,0,0,0
1,240000,1,1,2,44,0,0,0,0,0,0,246135,231443,234557,45362,200643,194410,198857,12026,9010,5737,7400,8000,8000,7000
1,70000,1,2,1,48,0,0,0,0,0,-1,50927,39883,32017,27686,17630,9730,6400,2100,1217,5737,500,0,6400,4590
0,290000,2,2,2,26,0,0,0,-1,-1,0,20807,99860,100000,2349,3015,23473,1448,80000,3000,19095,3015,23473,1148,4900
1,390000,2,3,2,35,0,0,0,0,0,0,355215,363325,373181,66443,252195,?,263018,13802,16525,11180,8893,9229,?,9435
0,60000,2,2,2,29,0,0,0,0,0,0,27199,28358,28937,23505,29614,30391,23159,1900,1400,19095,1000,1100,1000,420
0,50000,1,1,2,44,0,0,0,0,0,0,50893,28527,29241,24390,28513,29106,29638,1800,1500,11180,1200,1203,1166,1000
0,200000,2,3,2,47,0,0,0,0,0,0,203183,202961,194449,22163,196814,200526,198717,7521,7000,5737,7000,7128,8000,7100
0,90000,2,2,1,35,1,2,2,2,2,2,23132,22474,28067,67499,27320,31199,30548,0,6000,19095,0,4500,0,2000
0,180000,2,2,2,28,0,0,0,0,0,2,42238,38741,36696,65118,35813,37893,34661,2500,2000,11180,1128,2500,0,2000
1,120000,2,2,2,35,-1,-1,-1,-1,-1,-1,240,240,240,28217,240,240,240,240,240,11180,240,240,240,240
0,30000,2,1,1,31,0,0,0,0,0,0,16496,17522,18531,60466,18744,19291,19818,1597,1606,19095,819,1000,1000,1623
1,620000,2,2,1,45,2,2,0,0,0,0,160837,156839,160440,48776,163781,167159,170894,0,6200,19095,6000,6000,6500,6000
0,20000,2,2,2,21,-1,-1,2,2,-1,-1,18763,14410,13771,18107,362,5308,0,14410,0,19095,28,22073,0,0
0,50000,1,2,2,23,0,0,0,0,0,0,34549,18552,19334,23457,18165,19322,19575,2836,1200,19095,13000,1500,9000,1000
0,50000,1,2,3,30,0,0,0,0,0,0,97538,49187,17518,43904,17710,18079,18302,2454,1588,11180,780,803,673,637
1,10000,1,2,2,46,0,0,2,2,2,0,4073,6394,6143,27613,6908,6652,6785,2400,0,19095,871,0,244,251
0,440000,2,1,2,35,0,0,0,0,0,0,330759,337794,274075,26415,252584,?,179221,13100,11000,5737,10000,9000,?,5500
0,200000,2,1,2,38,-1,-1,-2,-2,-1,-1,399,0,0,27675,0,218,270,0,0,11180,0,218,270,317
0,150000,2,1,2,28,1,-2,-2,-2,-2,-1,0,0,0,20122,0,0,318,0,0,11180,0,0,318,0
1,30000,2,2,1,36,2,3,2,2,0,0,28778,28039,28286,14933,27533,28189,28805,0,1000,19095,0,1100,1100,1500
0,160000,2,1,1,33,-2,-2,-2,-2,-2,-2,5233,5393,1824,15440,350,150,199,5401,1829,5737,350,150,199,1145
0,210000,2,3,1,53,0,0,0,0,0,0,57192,58472,59658,41267,60466,61593,65163,2800,2753,19095,2400,2255,?,0
0,360000,2,2,2,52,-2,-2,-2,-2,-2,-2,640,2113,-6,15518,999,944,-3,2231,0,11180,1005,948,0,789
0,360000,1,2,2,38,-1,0,0,0,0,0,108351,111201,63146,1557,63723,65108,66078,8005,8004,11180,5000,5000,5000,105700
1,90000,2,1,2,24,0,0,0,0,0,0,13141,14526,15482,1767,18219,22737,23387,1600,1500,19095,3000,5000,1020,764
0,270000,2,1,1,40,0,0,0,-2,-2,-2,18751,5706,0,25820,0,0,0,1000,0,5737,0,0,0,0
0,80000,2,3,1,49,-1,-1,-1,-1,-1,-1,3367,4641,2290,39396,1459,6764,7601,4641,2290,5737,1459,6764,7601,7990
0,50000,1,2,2,42,0,0,0,0,0,0,50300,50898,49111,2309,48943,45775,0,2200,1600,19095,1700,1700,0,0
0,20000,2,1,2,25,0,0,0,0,0,2,14603,15661,16394,37521,16723,18056,17618,1600,1300,5737,600,1600,0,800
1,220000,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,56361,0,0,0,0,0,19095,0,0,0,0
0,230000,2,1,1,?,0,0,0,-1,0,0,30341,25981,24092,25929,65840,56538,51522,5000,5000,11180,65840,2000,2000,10000
0,180000,2,2,2,31,1,-2,-2,-2,-2,-2,0,0,0,36949,0,0,0,0,0,11180,0,0,0,1576
0,50000,1,1,2,34,1,2,2,2,2,2,22746,22099,24121,20442,23437,25101,24549,0,2700,11180,0,2200,0,1030
0,110000,2,1,2,24,0,0,0,0,2,0,40882,35428,39680,9525,44097,42543,33189,2000,5000,11180,5000,0,2000,3000
0,50000,1,?,1,37,0,0,0,0,0,0,48226,48727,46228,1528,46755,43686,44573,2000,1684,19095,1601,2000,2000,2000
0,40000,1,2,2,23,2,2,0,0,0,0,36650,29541,26190,14884,26710,27274,29551,0,1435,5737,955,993,2734,0
0,190000,2,2,1,37,1,2,2,2,2,2,115049,117856,119570,23380,116284,123528,125478,6000,5000,5737,0,9000,4000,5000
0,270000,2,2,1,56,0,0,0,0,0,0,137807,123769,104377,5027,106651,109294,101151,5000,5000,19095,3953,4500,4000,3900
0,150000,2,2,1,39,0,0,0,0,0,0,36146,36184,37511,23325,33080,30223,31561,3000,3000,19095,3000,2500,2000,2000
0,20000,2,2,2,24,0,0,0,0,2,0,13168,13888,14900,39200,15916,15519,15829,1237,1249,19095,1265,0,568,1327
0,20000,2,3,1,25,0,0,0,0,0,-2,16591,16442,6401,71897,4300,1304,0,1155,1000,11180,0,1304,?,0
0,170000,1,2,2,31,0,0,0,0,0,0,56364,58132,59171,37251,55888,53672,51461,3000,3000,11180,2000,3000,3000,3000
1,450000,2,1,1,42,1,-2,-2,-1,-1,-2,-200,-200,0,65584,42000,0,0,0,200,19095,42000,0,0,0
1,20000,2,1,1,30,2,2,2,0,0,0,5766,7511,7678,39707,7318,7458,7598,2000,500,5737,0,500,500,0
0,30000,2,2,2,34,2,-1,2,2,2,2,99568,32326,31840,23799,37075,37662,36904,33000,33000,11180,5810,1325,0,3095
1,100000,2,1,2,28,2,0,0,0,0,0,96193,82342,81967,33405,82177,78840,79261,3600,3800,19095,3000,3000,3023,3000
0,110000,2,2,3,45,0,0,0,0,0,0,26650,20787,20566,5189,21158,22141,22158,1532,2000,19095,783,3000,2000,2000
1,20000,2,3,1,41,-1,-1,-1,0,0,0,780,0,732,43777,642,1252,643,0,732,19095,300,1000,500,1000
0,140000,1,1,1,40,0,0,0,0,0,0,123049,125616,129695,1014,130735,133467,136287,4310,5913,5737,4426,4580,4770,4767
0,80000,1,2,2,32,0,0,0,0,0,0,51372,51872,47593,34855,43882,42256,42527,1853,1700,5737,1522,1548,1488,1500
0,170000,1,2,2,27,-1,2,2,-2,-2,-2,1170,780,0,1887,0,0,0,0,0,19095,0,0,0,0
0,50000,2,1,1,34,0,0,0,-1,0,0,27966,28539,11597,21848,6611,7349,7570,1267,1553,11180,7511,1000,343,1000
0,280000,1,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,41420,35752,3955,13969,41346,52110,5737,35752,3955,13939,?
0,20000,1,2,2,24,0,0,-1,2,0,0,10476,7279,688,14543,688,688,1320,1000,688,19095,0,0,650,0
0,170000,1,2,1,42,1,-1,-1,-2,-2,-1,0,1690,0,15476,0,0,4750,1690,0,11180,0,0,4750,0
0,80000,2,2,2,48,0,0,0,0,0,0,45174,41885,42832,31544,23799,11723,27236,3000,3413,5737,2000,5000,17236,2000
1,10000,1,2,2,22,0,0,0,0,0,0,7960,9649,8518,21642,8628,9293,5033,2000,1000,11180,500,1500,0,2500
1,10000,1,2,1,45,0,0,0,2,0,0,7139,8416,9815,36743,9508,9754,10192,1400,1700,5737,0,400,600,200
0,120000,1,1,2,34,1,2,-1,-1,-2,-2,1278,639,621,21175,-18,-18,-18,0,621,19095,0,0,?,0
0,110000,1,2,1,57,0,0,0,0,0,0,46132,41050,40091,21610,40659,38529,30900,2306,2111,19095,3009,1725,1500,0
0,150000,2,3,2,28,0,0,0,0,0,0,101593,101886,101441,23915,100829,101913,96704,4000,4032,19095,3410,4000,3665,3050
0,610000,2,1,2,31,0,0,0,0,0,0,142764,126606,67887,13353,58397,105301,105965,6540,2100,5737,2150,50000,4700,2000
1,150000,2,1,2,31,2,-1,-1,-1,-1,-1,390,390,390,45518,4825,5202,780,390,390,5737,4825,5202,780,0
1,50000,2,2,2,25,8,7,6,5,4,3,37647,37102,36238,39983,36374,35229,34365,0,0,11180,1000,0,0,3000
0,500000,2,2,2,43,-1,0,0,0,0,0,43346,43976,39032,10863,29092,22725,11590,4006,2383,5737,1126,782,596,1572
1,50000,2,2,2,52,1,2,0,0,0,2,43343,43360,23417,10474,21969,21179,18711,1300,1400,11180,920,1700,0,900
0,140000,2,2,2,24,-1,-1,-2,-1,-1,-2,197,0,0,33298,233,0,0,0,0,11180,233,0,0,0
0,200000,2,1,1,35,-2,-2,-2,-2,-2,-2,2257,4261,1265,46067,2473,0,0,4266,1667,5737,2473,0,0,0
0,360000,2,2,2,53,-1,-1,-1,-1,-1,-1,10733,15206,15000,20222,9744,11114,8123,15206,15032,11180,9769,11114,8123,8736
0,20000,1,2,1,33,0,0,0,0,0,0,11026,9535,10510,39247,10472,?,10101,1174,1149,19095,501,356,?,458
0,60000,2,1,2,?,1,2,0,0,0,0,29649,21657,28736,22320,42733,?,37993,0,8000,5737,15000,9000,?,0
1,210000,2,1,1,42,1,-2,-1,-1,-2,-2,0,0,2490,45799,0,0,0,0,2490,11180,0,0,0,0
0,230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,79308,0,0,0,0,0,11180,0,0,0,0
0,400000,1,1,2,37,-1,-1,-1,-1,-2,-1,385,12695,1290,72821,0,0,3058,13032,1290,19095,0,0,3058,3768
0,50000,2,3,1,44,-1,-1,-1,-1,0,0,2000,780,0,35005,7472,?,11104,780,0,11180,7472,3000,?,1000
1,20000,2,3,2,36,0,0,2,2,2,2,16754,18873,19862,17702,19245,20532,19953,2400,1600,11180,0,1600,209,0
0,280000,2,2,1,39,0,0,2,0,0,0,213738,228963,223810,32612,158542,162244,108143,20300,0,5737,5600,6300,4000,4000
0,20000,2,1,2,22,0,0,0,0,0,0,20243,20400,19583,32118,19983,20196,19705,1410,1200,19095,534,700,1000,0
1,40000,1,1,2,27,0,0,0,0,0,0,11058,11471,11776,22679,12660,12660,12413,2000,1500,5737,2330,2300,1000,2078
0,80000,2,2,2,22,1,2,0,0,0,0,79318,79459,79788,66339,29069,26551,27109,2000,2201,5737,2000,1000,1000,2000
0,300000,2,2,1,34,-2,-2,-2,-2,-2,-2,205064,-86,-86,39633,2014,-185,1815,0,0,19095,2100,0,2000,5000
1,100000,2,3,1,43,2,2,2,2,2,2,50485,51582,52141,30085,52691,54199,53176,2200,2000,19095,2000,2500,0,4500
0,130000,1,2,2,29,0,0,0,0,0,0,131041,133698,131990,36178,127512,128683,129669,7000,5151,11180,4464,5000,4702,8000
0,20000,2,2,2,27,0,0,0,0,0,0,20218,19194,20112,57214,19712,19712,6321,1482,1400,19095,0,0,0,0
0,50000,1,1,2,26,-2,-2,-2,-2,-2,-2,0,0,0,54567,0,0,0,0,0,5737,0,0,0,0
0,260000,1,1,1,41,-2,-2,-1,0,0,0,1086,2853,38836,28580,45087,47201,46199,3552,38836,5737,20000,15000,15000,10000
0,290000,2,2,2,34,0,0,0,0,0,0,310403,315048,314085,44080,317631,315820,305498,12012,12012,11180,11016,11088,?,12031
0,20000,2,2,3,52,0,0,0,0,0,0,14591,15616,16628,42297,16958,17314,17664,1265,1277,11180,607,629,638,641
0,80000,2,3,1,40,0,0,0,0,0,0,35660,37082,38464,37337,38922,40791,43108,2000,2000,11180,1397,2500,3000,1600
0,500000,2,3,1,38,-2,-2,-2,-2,-2,-2,13655,8351,2340,35862,2340,11435,189,8351,2340,11180,2340,11435,189,5391
0,180000,1,1,1,45,-1,-1,-1,-1,-1,-1,4453,3310,7226,17321,5060,2832,1890,3310,7228,11180,5060,2832,1890,2576
0,280000,2,2,2,27,-1,-1,-1,-1,-1,-1,5924,5174,980,36088,3058,3158,9530,5174,1078,5737,3058,3158,9530,0
0,20000,2,2,1,43,2,0,0,0,0,2,15294,16340,17359,22179,17776,19293,18844,1300,1300,19095,700,1800,0,1000
0,230000,2,1,2,38,0,0,0,0,0,0,224020,227311,184500,3833,128190,130883,133504,8750,7470,5737,4540,4710,4750,4900
1,50000,1,3,2,55,0,0,0,0,0,0,51737,27121,28103,41116,28814,29261,29878,2930,1447,11180,1158,1041,1082,994
0,80000,2,2,1,32,0,0,0,0,0,-2,28408,25695,11553,47624,2350,0,0,1259,1035,5737,1600,0,0,0
1,240000,2,2,1,37,-1,-1,-2,-2,-2,-2,238,0,0,35145,0,?,0,0,0,5737,0,0,?,0
0,140000,2,1,1,36,-1,-1,-2,-1,0,0,4036,0,0,41602,2971,1607,0,0,0,11180,2971,0,0,0
1,50000,1,1,2,30,2,2,2,-1,2,2,4187,5152,3679,15580,596,446,2699,2300,0,19095,700,0,2300,0
0,120000,2,2,2,26,0,0,0,0,0,0,22431,12399,4199,37520,3059,674,0,1500,1000,5737,682,0,0,738
0,360000,2,1,2,27,0,-1,0,-1,-1,-1,79837,27456,68117,4411,39105,54456,46153,27465,50154,5737,39105,54456,46153,40000
0,30000,1,3,1,45,0,0,2,0,0,0,17187,24045,23180,40710,22000,22000,0,7900,0,5737,0,0,0,0
0,240000,1,1,2,46,0,0,0,0,0,0,471814,478380,395612,10206,386295,356206,352257,16044,15087,19095,12000,15000,12000,12000
0,200000,1,1,1,34,-2,-2,-2,-2,-2,-2,1242,4006,941,35014,2357,2945,1143,4034,945,11180,2366,2947,1143,744
0,50000,1,2,1,44,-1,-1,-1,-1,-1,-1,1261,1261,1261,54317,1261,1261,1261,1261,1261,11180,1261,1261,1261,1261
0,50000,2,2,2,23,-2,-2,-2,-2,-2,-2,3779,3944,2118,32929,2259,3527,1100,3955,2124,19095,2266,3638,1303,0
0,240000,2,2,1,37,0,0,0,0,0,0,219099,217058,187841,62480,186140,191678,191816,8131,8123,19095,6700,10000,7700,6000
0,50000,1,2,1,59,0,0,0,0,0,0,47069,48479,49520,14580,18990,19539,19791,2169,2210,11180,680,855,726,687
0,470000,1,2,2,33,0,0,0,0,0,0,190258,181207,120318,38424,129281,113437,164377,40012,10020,5737,40069,25005,100000,51305
1,250000,1,1,2,41,-1,-1,-1,0,-1,-1,1338,-24,8324,40291,5872,23020,2367,0,8348,5737,0,23020,2367,3117
1,380000,1,1,2,43,1,2,2,-2,-2,-2,8201,7882,-2,48979,-2,-2,-2,39,0,19095,0,0,0,0
0,180000,2,2,1,32,0,0,0,0,-1,-1,74189,30670,6428,10307,4618,2708,54024,2000,1000,19095,0,2708,54024,2000
0,150000,2,1,3,30,-2,-2,-2,-2,-2,-2,50,6527,2168,12842,-7,1373,-1,8589,2500,5737,0,1380,0,2050
0,180000,1,1,2,28,-1,-1,-1,-1,-1,-1,666,662,-4,14133,55566,1056,390,662,0,11180,61411,1056,0,1998
1,500000,1,1,2,36,-2,-2,-2,-2,-2,-2,45106,81264,18122,36339,27229,21462,27911,81690,18225,5737,27365,21570,28050,17397
0,260000,2,2,1,33,-2,-2,-2,-1,-1,0,134736,135593,120909,49005,102524,40157,40805,6067,10000,11180,3000,40157,?,2000
